	study_name	sample_id	NCBI_accession	ftp_urls	url_counts
0	AsnicarF_2017	MV_FEI1_t1Q14	SRR4052021	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/001/SRR4052021/SRR4052021.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/001/SRR4052021/SRR4052021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/001/SRR4052021/SRR4052021_2.fastq.gz	3
1	AsnicarF_2017	MV_FEI2_t1Q14	SRR4052022	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/002/SRR4052022/SRR4052022.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/002/SRR4052022/SRR4052022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/002/SRR4052022/SRR4052022_2.fastq.gz	3
2	AsnicarF_2017	MV_FEI3_t1Q14	SRR4052033	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/003/SRR4052033/SRR4052033.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/003/SRR4052033/SRR4052033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/003/SRR4052033/SRR4052033_2.fastq.gz	3
3	AsnicarF_2017	MV_FEI4_t1Q14	SRR4052038	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/008/SRR4052038/SRR4052038.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/008/SRR4052038/SRR4052038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/008/SRR4052038/SRR4052038_2.fastq.gz	3
4	AsnicarF_2017	MV_FEI4_t2Q15	SRR4052039	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/009/SRR4052039/SRR4052039.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/009/SRR4052039/SRR4052039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/009/SRR4052039/SRR4052039_2.fastq.gz	3
5	AsnicarF_2017	MV_FEI5_t1Q14	SRR4052040	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/000/SRR4052040/SRR4052040.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/000/SRR4052040/SRR4052040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/000/SRR4052040/SRR4052040_2.fastq.gz	3
6	AsnicarF_2017	MV_FEI5_t2Q14	SRR4052041	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/001/SRR4052041/SRR4052041.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/001/SRR4052041/SRR4052041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/001/SRR4052041/SRR4052041_2.fastq.gz	3
7	AsnicarF_2017	MV_FEI5_t3Q15	SRR4052042	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/002/SRR4052042/SRR4052042.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/002/SRR4052042/SRR4052042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/002/SRR4052042/SRR4052042_2.fastq.gz	3
8	AsnicarF_2017	MV_FEM1_t1Q14	SRR4052043	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/003/SRR4052043/SRR4052043.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/003/SRR4052043/SRR4052043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/003/SRR4052043/SRR4052043_2.fastq.gz	3
9	AsnicarF_2017	MV_FEM2_t1Q14	SRR4052044	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/004/SRR4052044/SRR4052044.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/004/SRR4052044/SRR4052044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/004/SRR4052044/SRR4052044_2.fastq.gz	3
10	AsnicarF_2017	MV_FEM3_t1Q14	SRR4052023	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/003/SRR4052023/SRR4052023.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/003/SRR4052023/SRR4052023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/003/SRR4052023/SRR4052023_2.fastq.gz	3
11	AsnicarF_2017	MV_FEM4_t1Q14	SRR4052024	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/004/SRR4052024/SRR4052024.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/004/SRR4052024/SRR4052024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/004/SRR4052024/SRR4052024_2.fastq.gz	3
12	AsnicarF_2017	MV_FEM4_t2Q15	SRR4052025	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/005/SRR4052025/SRR4052025.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/005/SRR4052025/SRR4052025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/005/SRR4052025/SRR4052025_2.fastq.gz	3
13	AsnicarF_2017	MV_FEM5_t1Q14	SRR4052026	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/006/SRR4052026/SRR4052026.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/006/SRR4052026/SRR4052026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/006/SRR4052026/SRR4052026_2.fastq.gz	3
14	AsnicarF_2017	MV_FEM5_t2Q14	SRR4052027	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/007/SRR4052027/SRR4052027.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/007/SRR4052027/SRR4052027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/007/SRR4052027/SRR4052027_2.fastq.gz	3
15	AsnicarF_2017	MV_FEM5_t3Q15	SRR4052028	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/008/SRR4052028/SRR4052028.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/008/SRR4052028/SRR4052028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/008/SRR4052028/SRR4052028_2.fastq.gz	3
16	AsnicarF_2017	MV_MIM1_t1M14	SRR4052029	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/009/SRR4052029/SRR4052029.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/009/SRR4052029/SRR4052029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/009/SRR4052029/SRR4052029_2.fastq.gz	3
17	AsnicarF_2017	MV_MIM2_t1M14	SRR4052030	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/000/SRR4052030/SRR4052030.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/000/SRR4052030/SRR4052030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/000/SRR4052030/SRR4052030_2.fastq.gz	3
18	AsnicarF_2017	MV_MIM3_t1M14	SRR4052031	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/001/SRR4052031/SRR4052031.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/001/SRR4052031/SRR4052031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/001/SRR4052031/SRR4052031_2.fastq.gz	3
19	AsnicarF_2017	MV_MIM4_t1M14	SRR4052032	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/002/SRR4052032/SRR4052032.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/002/SRR4052032/SRR4052032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/002/SRR4052032/SRR4052032_2.fastq.gz	3
20	AsnicarF_2017	MV_MIM4_t2F15	SRR4052034	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/004/SRR4052034/SRR4052034.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/004/SRR4052034/SRR4052034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/004/SRR4052034/SRR4052034_2.fastq.gz	3
21	AsnicarF_2017	MV_MIM5_t1M14	SRR4052035	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/005/SRR4052035/SRR4052035.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/005/SRR4052035/SRR4052035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/005/SRR4052035/SRR4052035_2.fastq.gz	3
22	AsnicarF_2017	MV_MIM5_t2M14	SRR4052036	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/006/SRR4052036/SRR4052036.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/006/SRR4052036/SRR4052036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/006/SRR4052036/SRR4052036_2.fastq.gz	3
23	AsnicarF_2017	MV_MIM5_t3F15	SRR4052037	ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/007/SRR4052037/SRR4052037.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/007/SRR4052037/SRR4052037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR405/007/SRR4052037/SRR4052037_2.fastq.gz	3
24	AsnicarF_2021	SAMEA7041133	ERR4330026	ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/006/ERR4330026/ERR4330026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/006/ERR4330026/ERR4330026_2.fastq.gz	2
